SPOT_LQTYUSDT,LQTY-USDT
SPOT_USTCUSDT,USTC-USDT
SPOT_GASUSDT,GAS-USDT
SPOT_GLMUSDT,GLM-USDT
SPOT_IDUSDT,ID-USDT
SPOT_ARBUSDT,ARB-USDT
SPOT_RDNTUSDT,RDNT-USDT
SPOT_WBTCUSDT,WBTC-USDT
SPOT_SUIUSDT,SUI-USDT
SPOT_AERGOUSDT,AERGO-USDT
SPOT_PEPEUSDT,PEPE-USDT
SPOT_FLOKIUSDT,FLOKI-USDT
SPOT_ASTUSDT,AST-USDT
SPOT_SNTUSDT,SNT-USDT
SPOT_WLDUSDT,WLD-USDT
SPOT_GFTUSDT,GFT-USDT
SPOT_IQUSDT,IQ-USDT
PERPETUAL_BTCUSDT,BTC-USDT-SWAP
PERPETUAL_ETHUSDT,ETH-USDT-SWAP
PERPETUAL_BCHUSDT,BCH-USDT-SWAP
PERPETUAL_XRPUSDT,XRP-USDT-SWAP
PERPETUAL_EOSUSDT,EOS-USDT-SWAP
PERPETUAL_LTCUSDT,LTC-USDT-SWAP
PERPETUAL_TRXUSDT,TRX-USDT-SWAP
PERPETUAL_ETCUSDT,ETC-USDT-SWAP
PERPETUAL_LINKUSDT,LINK-USDT-SWAP
PERPETUAL_XLMUSDT,XLM-USDT-SWAP
PERPETUAL_ADAUSDT,ADA-USDT-SWAP
PERPETUAL_XMRUSDT,XMR-USDT-SWAP
PERPETUAL_DASHUSDT,DASH-USDT-SWAP
PERPETUAL_ZECUSDT,ZEC-USDT-SWAP
PERPETUAL_XTZUSDT,XTZ-USDT-SWAP
PERPETUAL_BNBUSDT,BNB-USDT-SWAP
PERPETUAL_ATOMUSDT,ATOM-USDT-SWAP
PERPETUAL_ONTUSDT,ONT-USDT-SWAP
PERPETUAL_IOTAUSDT,IOTA-USDT-SWAP
PERPETUAL_BATUSDT,BAT-USDT-SWAP
PERPETUAL_NEOUSDT,NEO-USDT-SWAP
PERPETUAL_QTUMUSDT,QTUM-USDT-SWAP
PERPETUAL_IOSTUSDT,IOST-USDT-SWAP
PERPETUAL_THETAUSDT,THETA-USDT-SWAP
PERPETUAL_ALGOUSDT,ALGO-USDT-SWAP
PERPETUAL_ZILUSDT,ZIL-USDT-SWAP
PERPETUAL_KNCUSDT,KNC-USDT-SWAP
PERPETUAL_ZRXUSDT,ZRX-USDT-SWAP
PERPETUAL_COMPUSDT,COMP-USDT-SWAP
PERPETUAL_OMGUSDT,OMG-USDT-SWAP
